Name	Id	Crate	Channel	Type	Index1	Index2	Efactor
He118	118	9	53	1	5	0	0.64393764228873
He119	119	9	54	1	5	0	0.617101912044871
He120	120	9	55	1	5	0	0.63731895387082
He121	121	9	56	1	5	0	0.685844258933618
He122	122	9	57	1	6	0	0.632103189569241
He123	123	9	58	1	6	0	0.655112409897285
He124	124	9	59	1	6	0	0.631806340012951
He125	125	9	60	1	6	0	0.679479420228151
He126	126	9	61	1	6	0	0.705321983859059
He127	127	9	62	1	6	0	0.691207346264565
He128	128	9	63	1	6	0	1
He129	129	10	3	1	6	0	1
He130	130	10	4	1	6	0	1
He131	131	10	5	1	7	0	1
He132	132	10	6	1	7	0	1
He133	133	10	7	1	7	0	1
He134	134	10	8	1	7	0	1
He135	135	10	9	1	7	0	1
He136	136	10	10	1	7	0	1
He137	137	10	11	1	7	0	1
He138	138	10	12	1	7	0	1
He139	139	10	13	1	7	0	1
He140	140	10	14	1	7	0	1
